Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Item_Outlet_Sales,Item_Type_Breads,Item_Type_Breakfast,Item_Type_Canned,Item_Type_Dairy,Item_Type_Frozen Foods,Item_Type_Fruits and Vegetables,Item_Type_Hard Drinks,Item_Type_Health and Hygiene,Item_Type_Household,Item_Type_Meat,Item_Type_Others,Item_Type_Seafood,Item_Type_Snack Foods,Item_Type_Soft Drinks,Item_Type_Starchy Foods,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
9.3,0,0.25223228037139017,249.8092,23.0,6.4171368845936065,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
5.92,1,0.2681363010543086,48.2692,13.0,3.964431082697161,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
17.5,0,0.25591278665734357,141.618,23.0,5.632405084719625,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
13.65,1,0.2335619987384311,57.6588,35.0,3.742264926433649,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
12.857645184135976,0,0.5032716880874994,107.7622,37.0,6.5256314092735375,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
16.2,1,0.25554089467108787,96.9726,20.0,4.84444646786052,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
19.2,1,0.45540733960316077,187.8214,15.0,6.7626026930404395,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
18.5,1,0.35690707590968124,144.1102,25.0,5.686076406654117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
15.1,1,0.4641797695711779,145.4786,23.0,5.2901787104029925,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
17.6,1,0.36154002810199776,119.6782,25.0,5.661246535022487,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
16.35,0,0.40821412411660285,196.4426,35.0,5.558001431172059,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
9.0,1,0.4103327875147388,56.3614,25.0,5.2582963743963225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
11.8,0,0.20484859731084187,115.3492,13.0,5.314528775735334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
9.0,1,0.4105453302680001,54.3614,23.0,4.421183527194619,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
12.857645184135976,0,0.32471432727299143,113.2834,37.0,5.7531658655831635,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
